"account_id","account_name","industry","country","signup_date","referral_source","plan_tier","seats","is_trial","churn_flag","total_mrr","total_arr","active_subs","total_usage_events","avg_daily_usage","total_errors","unique_features","usage_velocity","ticket_volume","avg_res_time_hrs","high_priority_count","churn_date","is_churned"
"A-2e4581","Company_0","EdTech","US","2024-10-16","partner","Basic",9,"False","False",12603,151236,10,55,9.72727272727273,38,27,1,2,23,2,"2024-11-23",1
"A-2e4581","Company_0","EdTech","US","2024-10-16","partner","Basic",9,"False","False",12603,151236,10,55,9.72727272727273,38,27,1,2,23,2,"2024-12-05",1
"A-43a9e3","Company_1","FinTech","IN","2023-08-17","other","Basic",18,"False","True",10004,120048,8,35,10.1428571428571,14,23,0.955357142857143,3,38,2,NA,0
"A-0a282f","Company_2","DevTools","US","2024-08-27","organic","Basic",1,"False","False",18286,219432,15,83,9.89156626506024,48,34,0.801724137931034,3,43.6666666666667,1,"2024-10-06",1
"A-0a282f","Company_2","DevTools","US","2024-08-27","organic","Basic",1,"False","False",18286,219432,15,83,9.89156626506024,48,34,0.801724137931034,3,43.6666666666667,1,"2024-12-31",1
"A-1f0ac7","Company_3","HealthTech","UK","2023-08-27","other","Basic",24,"True","False",9275,111300,7,41,9.31707317073171,21,26,0.776699029126214,2,29,1,"2024-11-08",1
"A-ce550d","Company_4","HealthTech","US","2024-10-27","event","Enterprise",35,"False","True",48761,585132,9,58,9.98275862068965,31,32,0.875,7,42.2857142857143,4,"2024-12-28",1
"A-1b9609","Company_5","EdTech","IN","2023-10-12","ads","Enterprise",4,"False","False",16810,201720,11,47,9.72340425531915,21,28,1.20731707317073,4,43,3,"2024-11-16",1
"A-1b9609","Company_5","EdTech","IN","2023-10-12","ads","Enterprise",4,"False","False",16810,201720,11,47,9.72340425531915,21,28,1.20731707317073,4,43,3,"2024-02-02",1
"A-1b9609","Company_5","EdTech","IN","2023-10-12","ads","Enterprise",4,"False","False",16810,201720,11,47,9.72340425531915,21,28,1.20731707317073,4,43,3,"2024-01-02",1
"A-a0ca4e","Company_6","Cybersecurity","US","2024-03-08","ads","Pro",11,"False","False",16633,199596,9,39,9.56410256410256,14,26,1.04545454545455,6,39.1666666666667,2,NA,0
"A-e5d6ab","Company_7","EdTech","US","2023-04-15","partner","Pro",3,"False","False",13048,156576,10,41,9.31707317073171,23,29,1.05681818181818,3,42.6666666666667,2,"2023-04-24",1
"A-e5d6ab","Company_7","EdTech","US","2023-04-15","partner","Pro",3,"False","False",13048,156576,10,41,9.31707317073171,23,29,1.05681818181818,3,42.6666666666667,2,"2024-05-11",1
